price_zar,city,suburb,property_type,bedrooms,bathrooms,parkings,floor_size_m2,erf_size_m2,title,source_text,province,garages
4350000.0,,Sasolburg,House,4.0,1.0,1.0,1100.0,,,"10 Rembrandt Street, Sasolburg, Freestate",Free State,0.0
860000.0,,Crescent,Townhouse,2.0,2.0,1.0,95.0,,,29 Bosduif Crescent,Gauteng,0.0
1910000.0,,Klopper,House,3.0,1.0,1.0,150.0,,,113a Klopper,Gauteng,0.0
950000.0,,Boulevard,Apartment,2.0,1.0,2.0,75.0,,,"56 Acacia, 23 Emerald Boulevard",Gauteng,0.0
999000.0,,Boulevard,Apartment,2.0,2.0,2.0,80.0,,,"23 Ss Acacia, 36 Emerald Boulevard",Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,109.0,,,"136 Ss Malakite, 10 Stone Close",Gauteng,0.0
1150000.0,,Close,Townhouse,2.0,2.0,2.0,94.0,,,"35 Ss THE Isle, 9 Stone Close",Gauteng,0.0
1150000.0,,Close,Townhouse,2.0,2.0,2.0,94.0,,,9 Stone Close,Gauteng,0.0
829900.0,,Lethabong,Apartment,1.0,1.0,1.0,52.0,,,"Founders Hill Crescent, Antwerp Rd, Founders Hill, Lethabong",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,"403 Ss Malakite, 10 Stone Close",Gauteng,0.0
920000.0,,Lethabong,Apartment,2.0,2.0,2.0,71.0,,,"4 Stone Close, Modderfontein, Lethabong",Gauteng,0.0
1650000.0,,Parkway,Townhouse,2.0,2.0,3.0,104.0,,,1 Emerald Parkway,Gauteng,0.0
790000.0,,Close,Apartment,1.0,1.0,1.0,44.0,,,"117 Malakite, 10 Stone Close",Gauteng,0.0
925000.0,,Close,Apartment,2.0,1.0,2.0,70.0,,,"16 Ss THE Vineyard, 2 Harris Close",Gauteng,0.0
1425000.0,,Lane,Townhouse,2.0,2.0,2.0,96.0,,,"5505 Fish Eagle View, 15c Benacre Lane",Gauteng,0.0
1395000.0,,Parkway,Townhouse,2.0,2.0,2.0,105.0,,,17 Emerald Parkway,Gauteng,0.0
